subject_number	subject_project	visit_type	visit_status	projected_visit		
30.0	3	01H	1.0	0.0		
30.0	3	02H	1.0	0.0		
30.0	3	03H	1.0	0.0		
30.0	3	04H	1.0	0.0		
30.0	3	05H	1.0	0.0		
30.0	3	06H	1.0	0.0		
30.0	3	07H	1.0	0.0		
30.0	3	08H	1.0	0.0		
30.0	3	09H	1.0	0.0		
30.0	3	10H	1.0	0.0		
30.0	3	11H	1.0	0.0		
30.0	3	12H	1.0	0.0		
30.0	3	1G_1_07	1.0	0.0		
30.0	3	1G_2_08	1.0	0.0		
30.0	3	1G_3_08	1.0	0.0		
30.0	3	2G_1_08	1.0	0.0		
30.0	3	2G_2_09	1.0	0.0		
30.0	3	2G_3_09	1.0	0.0		
30.0	3	3G_1_09	1.0	0.0		
30.0	3	3G_2_10	1.0	0.0		
30.0	3	3G_3_10	1.0	0.0		
30.0	3	4G_1_10	1.0	0.0		
30.0	3	4G_2_11	1.0	0.0		
30.0	3	4G_3_11	1.0	0.0		
30.0	3	KG_1_06	1.0	0.0		
30.0	3	KG_2_07	1.0	0.0		
30.0	3	KG_3_07	1.0	0.0		
35.0	3	01H	0	0.0		
35.0	3	02H	0	0.0		
35.0	3	03H	1.0	0.0		
35.0	3	04H	1.0	0.0		
35.0	3	05H	1.0	0.0		
35.0	3	06H	1.0	0.0		
35.0	3	07H	1.0	0.0		
35.0	3	08H	1.0	0.0		
35.0	3	09H	1.0	0.0		
35.0	3	10H	1.0	0.0		
35.0	3	11H	1.0	0.0		
35.0	3	12H	1.0	0.0		
35.0	3	1G_1_07	0	0.0		
35.0	3	1G_2_08	0	0.0		
35.0	3	1G_3_08	0	0.0		
35.0	3	2G_1_08	0	0.0		
35.0	3	2G_2_09	0	0.0		
35.0	3	2G_3_09	0	0.0		
35.0	3	3G_1_09	0	0.0		
35.0	3	3G_2_10	0	0.0		
35.0	3	3G_3_10	0	0.0		
35.0	3	4G_1_10	0	0.0		
35.0	3	4G_2_11	0	0.0		
35.0	3	4G_3_11	0	0.0		
35.0	3	KG_1_06	1.0	0.0		
35.0	3	KG_2_07	1.0	0.0		
35.0	3	KG_3_07	1.0	0.0		
46.0	3	01H	1.0	0.0		
46.0	3	02H	1.0	0.0		
46.0	3	03H	1.0	0.0		
46.0	3	04H	1.0	0.0		
46.0	3	05H	1.0	0.0		
46.0	3	06H	1.0	0.0		
46.0	3	07H	1.0	0.0		
46.0	3	08H	1.0	0.0		
46.0	3	09H	1.0	0.0		
46.0	3	10H	1.0	0.0		
46.0	3	11H	1.0	0.0		
46.0	3	12H	1.0	0.0		
46.0	3	1G_1	0	0.0		
46.0	3	1G_2	0	0.0		
46.0	3	1G_3	0	0.0		
46.0	3	2G_1	0	0.0		
46.0	3	2G_2	0	0.0		
46.0	3	2G_3	0	0.0		
46.0	3	3G_1	0	0.0		
46.0	3	3G_2	0	0.0		
46.0	3	3G_3	0	0.0		
46.0	3	4G_1	0	0.0		
46.0	3	4G_2	0	0.0		
46.0	3	4G_3	0	0.0		
46.0	3	KG_1_07	1.0	0.0		
46.0	3	KG_2	0	0.0		
46.0	3	KG_3	0	0.0		
93.0	3	01H	1.0	0.0		
93.0	3	02H	1.0	0.0		
93.0	3	03H	1.0	0.0		
93.0	3	04H	1.0	0.0		
93.0	3	05H	1.0	0.0		
93.0	3	06H	1.0	0.0		
93.0	3	07H	1.0	0.0		
93.0	3	08H	1.0	0.0		
93.0	3	09H	1.0	0.0		
93.0	3	10H	1.0	0.0		
93.0	3	11H	1.0	0.0		
93.0	3	12H	1.0	0.0		
93.0	3	1G_1_08	1.0	0.0		
93.0	3	1G_2_09	1.0	0.0		
93.0	3	1G_3_09	1.0	0.0		
93.0	3	2G_1_09	1.0	0.0		
93.0	3	2G_2_10	1.0	0.0		
93.0	3	2G_3_10	1.0	0.0		
93.0	3	3G_1_10	1.0	0.0		
93.0	3	3G_2_11	1.0	0.0		
93.0	3	3G_3_11	1.0	0.0		
93.0	3	4G_1_11	1.0	0.0		
93.0	3	4G_2_12	1.0	0.0		
93.0	3	4G_3_12	1.0	0.0		
93.0	3	KG_1_07	1.0	0.0		
93.0	3	KG_2_08	1.0	0.0		
93.0	3	KG_3_08	1.0	0.0		
94.0	3	01H	0	0.0		
94.0	3	02H	0	0.0		
94.0	3	03H	1.0	0.0		
94.0	3	04H	1.0	0.0		
94.0	3	05H	1.0	0.0		
94.0	3	06H	1.0	0.0		
94.0	3	07H	1.0	0.0		
94.0	3	08H	1.0	0.0		
94.0	3	09H	1.0	0.0		
94.0	3	10H	1.0	0.0		
94.0	3	11H	1.0	0.0		
94.0	3	12H	1.0	0.0		
94.0	3	1G_1_07	1.0	0.0		
94.0	3	1G_2_08	1.0	0.0		
94.0	3	1G_3_08	1.0	0.0		
94.0	3	2G_1	0	0.0		
94.0	3	2G_2_09	1.0	0.0		
94.0	3	3G_1	0	0.0		
94.0	3	3G_2	0	0.0		
94.0	3	3G_3	0	0.0		
94.0	3	4G_1	0	0.0		
94.0	3	4G_2	0	0.0		
94.0	3	4G_3	0	0.0		
94.0	3	KG_1_06	1.0	0.0		
94.0	3	KG_2_07	1.0	0.0		
94.0	3	KG_3	0	0.0		
95.0	3	01H	0	0.0		
95.0	3	02H	0	0.0		
95.0	3	03H	0	0.0		
95.0	3	04H	0	0.0		
95.0	3	05H	0	0.0		
95.0	3	06H	1.0	0.0		
95.0	3	07H	1.0	0.0		
95.0	3	08H	1.0	0.0		
95.0	3	09H	1.0	0.0		
95.0	3	10H	1.0	0.0		
95.0	3	11H	1.0	0.0		
95.0	3	12H	1.0	0.0		
95.0	3	1G_1	0	0.0		
95.0	3	1G_2	0	0.0		
95.0	3	1G_3	0	0.0		
95.0	3	2G_1	0	0.0		
95.0	3	2G_2	0	0.0		
95.0	3	2G_3	0	0.0		
95.0	3	3G_1	0	0.0		
95.0	3	3G_2	0	0.0		
95.0	3	3G_3	0	0.0		
95.0	3	4G_1	0	0.0		
95.0	3	4G_2	0	0.0		
95.0	3	4G_3	0	0.0		
95.0	3	KG_1	0	0.0		
95.0	3	KG_2	0	0.0		
95.0	3	KG_3	0	0.0		
99.0	3	01H	0	0.0		
99.0	3	02H	0	0.0		
99.0	3	03H	0	0.0		
99.0	3	04H	0	0.0		
99.0	3	05H	0	0.0		
99.0	3	06H	1.0	0.0		
99.0	3	07H	1.0	0.0		
99.0	3	08H	1.0	0.0		
99.0	3	09H	1.0	0.0		
99.0	3	10H	1.0	0.0		
99.0	3	11H	1.0	0.0		
99.0	3	12H	1.0	0.0		
99.0	3	1G_1	0	0.0		
99.0	3	1G_2_07	1.0	0.0		
99.0	3	1G_3_07	1.0	0.0		
99.0	3	2G_1_07	1.0	0.0		
99.0	3	2G_2_08	1.0	0.0		
99.0	3	2G_3_08	1.0	0.0		
99.0	3	3G_1_08	1.0	0.0		
99.0	3	3G_2_09	1.0	0.0		
99.0	3	3G_3_09	1.0	0.0		
99.0	3	4G_1_09	1.0	0.0		
99.0	3	4G_2_10	1.0	0.0		
99.0	3	4G_3_10	1.0	0.0		
99.0	3	KG_1	0	0.0		
99.0	3	KG_2	0	0.0		
99.0	3	KG_3	0	0.0		
115.0	3	01H	0	0.0		
115.0	3	02H	0	0.0		
115.0	3	03H	0	0.0		
115.0	3	04H	0	0.0		
115.0	3	05H	0	0.0		
115.0	3	06H	1.0	0.0		
115.0	3	07H	1.0	0.0		
115.0	3	08H	1.0	0.0		
115.0	3	09H	1.0	0.0		
115.0	3	10H	1.0	0.0		
115.0	3	11H	1.0	0.0		
115.0	3	12H	1.0	0.0		
115.0	3	1G_1	0	0.0		
115.0	3	1G_2	0	0.0		
115.0	3	1G_3	0	0.0		
115.0	3	2G_1	0	0.0		
115.0	3	2G_2	0	0.0		
115.0	3	2G_3	0	0.0		
115.0	3	3G_1	0	0.0		
115.0	3	3G_2	0	0.0		
115.0	3	3G_3	0	0.0		
115.0	3	4G_1	0	0.0		
115.0	3	4G_2	0	0.0		
115.0	3	4G_3	0	0.0		
115.0	3	KG_1	0	0.0		
115.0	3	KG_2	0	0.0		
115.0	3	KG_3	0	0.0		
117.0	3	01H	0	0.0		
117.0	3	02H	0	0.0		
117.0	3	03H	0	0.0		
117.0	3	04H	1.0	0.0		
117.0	3	05H	1.0	0.0		
117.0	3	06H	1.0	0.0		
117.0	3	07H	1.0	0.0		
117.0	3	08H	1.0	0.0		
117.0	3	09H	1.0	0.0		
117.0	3	10H	1.0	0.0		
117.0	3	11H	1.0	0.0		
117.0	3	12H	1.0	0.0		
117.0	3	1G_1_08	1.0	0.0		
117.0	3	1G_2_09	1.0	0.0		
117.0	3	1G_3_09	1.0	0.0		
117.0	3	2G_1_09	1.0	0.0		
117.0	3	2G_2_10	1.0	0.0		
117.0	3	2G_3_10	1.0	0.0		
117.0	3	3G_1_10	1.0	0.0		
117.0	3	3G_2_11	1.0	0.0		
117.0	3	3G_3_11	1.0	0.0		
117.0	3	4G_1_11	1.0	0.0		
117.0	3	4G_2_12	1.0	0.0		
117.0	3	4G_3_12	1.0	0.0		
117.0	3	KG_1_07	1.0	0.0		
117.0	3	KG_2_08	1.0	0.0		
117.0	3	KG_3_08	1.0	0.0		
121.0	3	01H	0	0.0		
121.0	3	02H	0	0.0		
121.0	3	03H	0	0.0		
121.0	3	04H	1.0	0.0		
121.0	3	05H	1.0	0.0		
121.0	3	06H	1.0	0.0		
121.0	3	07H	1.0	0.0		
121.0	3	08H	1.0	0.0		
121.0	3	09H	1.0	0.0		
121.0	3	10H	1.0	0.0		
121.0	3	11H	1.0	0.0		
121.0	3	12H	1.0	0.0		
121.0	3	1G_1_07	1.0	0.0		
121.0	3	1G_2_08	1.0	0.0		
121.0	3	1G_3_08	1.0	0.0		
121.0	3	2G_1_08	1.0	0.0		
121.0	3	2G_2	0	0.0		
121.0	3	2G_3_09	1.0	0.0		
121.0	3	3G_1_09	1.0	0.0		
121.0	3	3G_2	0	0.0		
121.0	3	3G_3_10	1.0	0.0		
121.0	3	4G_1	0	0.0		
121.0	3	4G_2_11	1.0	0.0		
121.0	3	4G_3	0	0.0		
121.0	3	KG_1	0	0.0		
121.0	3	KG_2_07	1.0	0.0		
121.0	3	KG_3_07	1.0	0.0		
129.0	3	01H	0	0.0		
129.0	3	02H	0	0.0		
129.0	3	03H	0	0.0		
129.0	3	04H	0	0.0		
129.0	3	05H	0	0.0		
129.0	3	06H	0	0.0		
129.0	3	07H	1.0	0.0		
129.0	3	08H	1.0	0.0		
129.0	3	09H	1.0	0.0		
129.0	3	11H	1.0	0.0		
129.0	3	12H	1.0	0.0		
129.0	3	1G_1_06	1.0	0.0		
129.0	3	1G_2	0	0.0		
129.0	3	1G_3	0	0.0		
129.0	3	2G_1_07	1.0	0.0		
129.0	3	2G_2_08	1.0	0.0		
129.0	3	3G_1_08	1.0	0.0		
129.0	3	3G_2	0	0.0		
129.0	3	3G_3	0	0.0		
129.0	3	4G_1_09	1.0	0.0		
129.0	3	4G_2_10	1.0	0.0		
129.0	3	4G_3	0	0.0		
129.0	3	KG_1	0	0.0		
129.0	3	KG_2	0	0.0		
129.0	3	KG_3	0	0.0		
132.0	3	01H	0	0.0		
132.0	3	02H	1.0	0.0		
132.0	3	03H	1.0	0.0		
132.0	3	04H	1.0	0.0		
132.0	3	05H	1.0	0.0		
132.0	3	06H	1.0	0.0		
132.0	3	07H	1.0	0.0		
132.0	3	08H	1.0	0.0		
132.0	3	09H	1.0	0.0		
132.0	3	10H	1.0	0.0		
132.0	3	11H	1.0	0.0		
132.0	3	12H	1.0	0.0		
132.0	3	1G_1_08	1.0	0.0		
132.0	3	1G_2_09	1.0	0.0		
132.0	3	1G_3_09	1.0	0.0		
132.0	3	2G_1_09	1.0	0.0		
132.0	3	2G_2_10	1.0	0.0		
132.0	3	2G_3_10	1.0	0.0		
132.0	3	3G_1_10	1.0	0.0		
132.0	3	3G_2_11	1.0	0.0		
132.0	3	3G_3_11	1.0	0.0		
132.0	3	4G_1_11	1.0	0.0		
132.0	3	4G_2_12	1.0	0.0		
132.0	3	4G_3_12	1.0	0.0		
132.0	3	KG_1_07	1.0	0.0		
132.0	3	KG_2_08	1.0	0.0		
132.0	3	KG_3_08	1.0	0.0		
133.0	3	01H	0	0.0		
133.0	3	02H	0	0.0		
133.0	3	03H	0	0.0		
133.0	3	04H	0	0.0		
133.0	3	05H	0	0.0		
133.0	3	06H	0	0.0		
133.0	3	07H	1.0	0.0		
133.0	3	08H	1.0	0.0		
133.0	3	09H	1.0	0.0		
133.0	3	10H	1.0	0.0		
133.0	3	11H	1.0	0.0		
133.0	3	12H	0	0.0		
133.0	3	1G_1	0	0.0		
133.0	3	1G_2	0	0.0		
133.0	3	1G_3	0	0.0		
133.0	3	2G_1	0	0.0		
133.0	3	2G_2	0	0.0		
133.0	3	2G_3	0	0.0		
133.0	3	3G_1	0	0.0		
133.0	3	3G_2	0	0.0		
133.0	3	3G_3	0	0.0		
133.0	3	4G_1	0	0.0		
133.0	3	4G_2	0	0.0		
133.0	3	4G_3	0	0.0		
133.0	3	KG_1	0	0.0		
133.0	3	KG_2	0	0.0		
133.0	3	KG_3	0	0.0		
134.0	3	01H	0	0.0		
134.0	3	02H	0	0.0		
134.0	3	03H	0	0.0		
134.0	3	04H	1	0.0		
134.0	3	05H	1.0	0.0		
134.0	3	06H	1.0	0.0		
134.0	3	07H	1.0	0.0		
134.0	3	08H	1.0	0.0		
134.0	3	09H	1.0	0.0		
134.0	3	10H	1.0	0.0		
134.0	3	11H	1.0	0.0		
134.0	3	12H	1.0	0.0		
134.0	3	1G_1_09	1.0	0.0		
134.0	3	1G_2_10	1.0	0.0		
134.0	3	1G_3_10	1.0	0.0		
134.0	3	2G_1_10	1.0	0.0		
134.0	3	2G_2_11	1.0	0.0		
134.0	3	2G_3_11	1.0	0.0		
134.0	3	3G_1_11	1.0	0.0		
134.0	3	3G_2_12	1.0	0.0		
134.0	3	3G_3_12	1.0	0.0		
134.0	3	4G_1	0	1.0		
134.0	3	4G_2	0	1.0		
134.0	3	4G_3	0	1.0		
134.0	3	KG_1	1.0	0.0		
134.0	3	KG_2	1.0	0.0		
134.0	3	KG_3	1.0	0.0		
135.0	3	01H	0	0.0		
135.0	3	02H	0	0.0		
135.0	3	03H	0	0.0		
135.0	3	04H	1.0	0.0		
135.0	3	05H	1.0	0.0		
135.0	3	06H	1.0	0.0		
135.0	3	07H	1.0	0.0		
135.0	3	08H	1.0	0.0		
135.0	3	09H	1.0	0.0		
135.0	3	10H	1.0	0.0		
135.0	3	11H	1.0	0.0		
135.0	3	12H	1.0	0.0		
135.0	3	1G_1_08	1.0	0.0		
135.0	3	1G_2_09	1.0	0.0		
135.0	3	1G_3_09	1.0	0.0		
135.0	3	2G_1_09	1.0	0.0		
135.0	3	2G_2_10	1.0	0.0		
135.0	3	2G_3_10	1.0	0.0		
135.0	3	3G_1_10	1.0	0.0		
135.0	3	3G_2_11	1.0	0.0		
135.0	3	3G_3_11	1.0	0.0		
135.0	3	4G_1_11	1.0	0.0		
135.0	3	4G_2_12	1.0	0.0		
135.0	3	4G_3_12	1.0	0.0		
135.0	3	KG_1_07	1.0	0.0		
135.0	3	KG_2_08	1.0	0.0		
135.0	3	KG_3_08	1.0	0.0		
137.0	3	01H	0	0.0		
137.0	3	02H	0	0.0		
137.0	3	03H	0	0.0		
137.0	3	04H	0	0.0		
137.0	3	05H	1.0	0.0		
137.0	3	06H	1.0	0.0		
137.0	3	07H	1.0	0.0		
137.0	3	08H	1.0	0.0		
137.0	3	09H	1.0	0.0		
137.0	3	10H	1.0	0.0		
137.0	3	11H	1.0	0.0		
137.0	3	12H	1.0	0.0		
137.0	3	1G_1_08	1.0	0.0		
137.0	3	1G_2_09	1.0	0.0		
137.0	3	1G_3_09	1.0	0.0		
137.0	3	2G_1_09	1.0	0.0		
137.0	3	2G_2_10	1.0	0.0		
137.0	3	2G_3_10	1.0	0.0		
137.0	3	3G_1_10	1.0	0.0		
137.0	3	3G_2_11	1.0	0.0		
137.0	3	3G_3_11	1.0	0.0		
137.0	3	4G_1_11	1.0	0.0		
137.0	3	4G_2_12	1.0	0.0		
137.0	3	4G_3_12	1.0	0.0		
137.0	3	KG_1_07	1.0	0.0		
137.0	3	KG_2	0	0.0		
137.0	3	KG_3_08	1.0	0.0		
139.0	3	01H	0	0.0		
139.0	3	02H	0	0.0		
139.0	3	03H	0	0.0		
139.0	3	04H	0	0.0		
139.0	3	05H	0	0.0		
139.0	3	06H	0	0.0		
139.0	3	07H	1.0	0.0		
139.0	3	08H	1.0	0.0		
139.0	3	09H	1.0	0.0		
139.0	3	10H	1.0	0.0		
139.0	3	11H	1.0	0.0		
139.0	3	12H	1.0	0.0		
139.0	3	1G_1_08	1.0	0.0		
139.0	3	1G_2_09	1.0	0.0		
139.0	3	1G_3_09	1.0	0.0		
139.0	3	2G_1_09	1.0	0.0		
139.0	3	2G_2_10	1.0	0.0		
139.0	3	2G_3_10	1.0	0.0		
139.0	3	3G_1_10	1.0	0.0		
139.0	3	3G_2_11	1.0	0.0		
139.0	3	3G_3_11	1.0	0.0		
139.0	3	4G_1_11	1.0	0.0		
139.0	3	4G_2_12	1.0	0.0		
139.0	3	4G_3_12	1.0	0.0		
139.0	3	KG_1_07	1.0	0.0		
139.0	3	KG_2	0	0.0		
139.0	3	KG_3_08	1.0	0.0		
140.0	3	01H	1.0	0.0		
140.0	3	02H	1.0	0.0		
140.0	3	03H	1.0	0.0		
140.0	3	04H	1.0	0.0		
140.0	3	05H	1.0	0.0		
140.0	3	06H	1.0	0.0		
140.0	3	07H	1.0	0.0		
140.0	3	08H	1.0	0.0		
140.0	3	09H	1.0	0.0		
140.0	3	10H	1.0	0.0		
140.0	3	11H	1.0	0.0		
140.0	3	12H	1.0	0.0		
140.0	3	1G_1	0	0.0		
140.0	3	1G_2_10	1.0	0.0		
140.0	3	1G_3_10	1.0	0.0		
140.0	3	2G_1_10	1.0	0.0		
140.0	3	2G_2_11	1.0	0.0		
140.0	3	2G_3_11	1.0	0.0		
140.0	3	3G_1_11	1.0	0.0		
140.0	3	3G_2_12	1.0	0.0		
140.0	3	3G_3_12	1.0	0.0		
140.0	3	4G_1_12	1.0	0.0		
140.0	3	4G_2	0	1.0		
140.0	3	4G_3	0	1.0		
140.0	3	KG_1_08	1.0	0.0		
140.0	3	KG_2_09	1.0	0.0		
140.0	3	KG_3_09	1.0	0.0		
141.0	3	01H	0	0.0		
141.0	3	02H	0	0.0		
141.0	3	03H	1.0	0.0		
141.0	3	04H	1.0	0.0		
141.0	3	05H	1.0	0.0		
141.0	3	06H	1.0	0.0		
141.0	3	08H	1.0	0.0		
141.0	3	09H	1.0	0.0		
141.0	3	10H	1.0	0.0		
141.0	3	12H	1.0	0.0		
141.0	3	1G_1	0	0.0		
141.0	3	1G_2	0	0.0		
141.0	3	1G_3	0	0.0		
141.0	3	2G_1	0	0.0		
141.0	3	2G_2	0	0.0		
141.0	3	2G_3	0	0.0		
141.0	3	3G_1	0	0.0		
141.0	3	3G_2	0	0.0		
141.0	3	3G_3	0	0.0		
141.0	3	4G_1	0	0.0		
141.0	3	4G_2	0	0.0		
141.0	3	4G_3	0	0.0		
141.0	3	KG_1	0	0.0		
141.0	3	KG_2	0	0.0		
141.0	3	KG_3	0	0.0		
144.0	3	01H	1.0	0.0		
144.0	3	02H	1.0	0.0		
144.0	3	03H	1.0	0.0		
144.0	3	04H	1.0	0.0		
144.0	3	05H	1.0	0.0		
144.0	3	06H	1.0	0.0		
144.0	3	07H	1.0	0.0		
144.0	3	08H	1.0	0.0		
144.0	3	09H	1.0	0.0		
144.0	3	10H	1.0	0.0		
144.0	3	11H	1.0	0.0		
144.0	3	12H	1.0	0.0		
144.0	3	1G_1_09	1.0	0.0		
144.0	3	1G_2_10	1.0	0.0		
144.0	3	1G_3_10	1.0	0.0		
144.0	3	2G_1_10	1.0	0.0		
144.0	3	2G_2_11	1.0	0.0		
144.0	3	2G_3_11	1.0	0.0		
144.0	3	3G_1_11	1.0	0.0		
144.0	3	3G_2_12	1.0	0.0		
144.0	3	3G_3_12	1.0	0.0		
144.0	3	4G_1_12	1.0	0.0		
144.0	3	4G_2	0	1.0		
144.0	3	4G_3	0	1.0		
144.0	3	KG_1_08	1.0	0.0		
144.0	3	KG_2_09	1.0	0.0		
144.0	3	KG_3_09	1.0	0.0		
147.0	3	01H	1.0	0.0		
147.0	3	02H	1.0	0.0		
147.0	3	03H	1.0	0.0		
147.0	3	04H	1.0	0.0		
147.0	3	05H	1.0	0.0		
147.0	3	06H	1.0	0.0		
147.0	3	07H	1.0	0.0		
147.0	3	08H	1.0	0.0		
147.0	3	09H	1.0	0.0		
147.0	3	10H	1.0	0.0		
147.0	3	11H	1.0	0.0		
147.0	3	12H	1.0	0.0		
147.0	3	1G_1_11	1.0	0.0		
147.0	3	1G_2_11	1.0	0.0		
147.0	3	1G_3_11	1.0	0.0		
147.0	3	2G_1_11	1.0	0.0		
147.0	3	2G_2_12	1.0	0.0		
147.0	3	2G_3_12	1.0	0.0		
147.0	3	3G_1	0	1.0		
147.0	3	3G_2	0	1.0		
147.0	3	3G_3	0	1.0		
147.0	3	4G_1	0	1.0		
147.0	3	4G_2	0	1.0		
147.0	3	4G_3	0	1.0		
147.0	3	KG_1_09	1.0	0.0		
147.0	3	KG_2_10	1.0	0.0		
147.0	3	KG_3_10	1.0	0.0		
148.0	3	01H	1.0	0.0		
148.0	3	02H	1.0	0.0		
148.0	3	03H	1.0	0.0		
148.0	3	04H	1.0	0.0		
148.0	3	05H	1.0	0.0		
148.0	3	06H	1.0	0.0		
148.0	3	07H	1.0	0.0		
148.0	3	08H	1.0	0.0		
148.0	3	09H	1.0	0.0		
148.0	3	10H	1.0	0.0		
148.0	3	11H	1.0	0.0		
148.0	3	12H	1.0	0.0		
148.0	3	1G_1_10	1.0	0.0		
148.0	3	1G_2_11	1.0	0.0		
148.0	3	1G_3_11	1.0	0.0		
148.0	3	2G_1_11	1.0	0.0		
148.0	3	2G_2_12	1.0	0.0		
148.0	3	2G_3_12	1.0	0.0		
148.0	3	3G_1_12	1.0	0.0		
148.0	3	3G_2	0	1.0		
148.0	3	3G_3	0	1.0		
148.0	3	4G_1	0	1.0		
148.0	3	4G_2	0	1.0		
148.0	3	4G_3	0	1.0		
148.0	3	KG_1_09	1.0	0.0		
148.0	3	KG_2_10	1.0	0.0		
148.0	3	KG_3_10	1.0	0.0		
149.0	3	01H	1.0	0.0		
149.0	3	02H	1.0	0.0		
149.0	3	03H	1.0	0.0		
149.0	3	04H	1.0	0.0		
149.0	3	05H	1.0	0.0		
149.0	3	06H	1.0	0.0		
149.0	3	07H	1.0	0.0		
149.0	3	08H	1.0	0.0		
149.0	3	09H	1.0	0.0		
149.0	3	10H	1.0	0.0		
149.0	3	11H	1.0	0.0		
149.0	3	12H	1.0	0.0		
149.0	3	1G_1_10	1.0	0.0		
149.0	3	1G_2_11	1.0	0.0		
149.0	3	1G_3_11	1.0	0.0		
149.0	3	2G_1_11	1.0	0.0		
149.0	3	2G_2_12	1.0	0.0		
149.0	3	2G_3_12	1.0	0.0		
149.0	3	3G_1_12	0	1.0		
149.0	3	3G_2	0	1.0		
149.0	3	3G_3	0	1.0		
149.0	3	4G_1	0	1.0		
149.0	3	4G_2	0	1.0		
149.0	3	4G_3	0	1.0		
149.0	3	KG_1_09	1.0	0.0		
149.0	3	KG_2_10	1.0	0.0		
149.0	3	KG_3_10	1.0	0.0		
150.0	3	01H	0	0.0		
150.0	3	02H	0	0.0		
150.0	3	03H	0	0.0		
150.0	3	04H	0	0.0		
150.0	3	05H	1.0	0.0		
150.0	3	06H	1.0	0.0		
150.0	3	07H	1.0	0.0		
150.0	3	08H	1.0	0.0		
150.0	3	09H	1.0	0.0		
150.0	3	10H	1.0	0.0		
150.0	3	11H	1.0	0.0		
150.0	3	12H	1.0	0.0		
150.0	3	1G_1_09	1.0	0.0		
150.0	3	1G_2_10	1.0	0.0		
150.0	3	1G_3_10	1.0	0.0		
150.0	3	2G_1_10	1.0	0.0		
150.0	3	2G_2_11	1.0	0.0		
150.0	3	2G_3_11	1.0	0.0		
150.0	3	3G_1	0	0.0		
150.0	3	3G_2_12	1.0	0.0		
150.0	3	3G_3_12	1.0	0.0		
150.0	3	4G_1	1	0.0		
150.0	3	4G_2	0	1.0		
150.0	3	4G_3	0	1.0		
150.0	3	KG_1	0	0.0		
150.0	3	KG_2_09	1.0	0.0		
150.0	3	KG_3_09	1.0	0.0		
151.0	3	01H	0	0.0		
151.0	3	02H	0	0.0		
151.0	3	03H	1.0	0.0		
151.0	3	04H	1.0	0.0		
151.0	3	05H	1.0	0.0		
151.0	3	06H	1.0	0.0		
151.0	3	07H	1.0	0.0		
151.0	3	08H	1.0	0.0		
151.0	3	09H	1.0	0.0		
151.0	3	10H	1.0	0.0		
151.0	3	12H	1.0	0.0		
151.0	3	1G_1	0	0.0		
151.0	3	1G_2	0	0.0		
151.0	3	1G_3	0	0.0		
151.0	3	2G_1	0	0.0		
151.0	3	2G_2	0	0.0		
151.0	3	2G_3	0	0.0		
151.0	3	3G_1	0	0.0		
151.0	3	3G_2	0	0.0		
151.0	3	3G_3	0	0.0		
151.0	3	4G_1	0	0.0		
151.0	3	4G_2	0	0.0		
151.0	3	4G_3	0	0.0		
151.0	3	KG_1	0	0.0		
151.0	3	KG_2	0	0.0		
151.0	3	KG_3	0	0.0		
152.0	3	01H	1.0	0.0		
152.0	3	02H	1.0	0.0		
152.0	3	03H	1.0	0.0		
152.0	3	04H	1.0	0.0		
152.0	3	05H	1.0	0.0		
152.0	3	06H	1.0	0.0		
152.0	3	07H	1.0	0.0		
152.0	3	08H	1.0	0.0		
152.0	3	09H	1.0	0.0		
