SUBJ	RECR	SESS	STAT	PROJ
30	0	1	1	0
30	0	2	1	0
30	0	3	1	0
30	0	4	1	0
30	0	5	1	0
30	0	6	1	0
30	0	7	1	0
30	0	8	1	0
30	0	9	1	0
30	0	10	1	0
30	0	11	1	0
30	0	12	1	0
30	0	16	1	0
30	0	17	1	0
30	0	18	1	0
30	0	19	1	0
30	0	20	1	0
30	0	21	1	0
30	0	22	1	0
30	0	23	1	0
30	0	24	1	0
30	0	25	1	0
30	0	26	1	0
30	0	27	1	0
30	0	13	1	0
30	0	14	1	0
30	0	15	1	0
35	0	1	0	0
35	0	2	0	0
35	0	3	1	0
35	0	4	1	0
35	0	5	1	0
35	0	6	1	0
35	0	7	1	0
35	0	8	1	0
35	0	9	1	0
35	0	10	1	0
35	0	11	1	0
35	0	12	1	0
35	0	16	0	0
35	0	17	0	0
35	0	18	0	0
35	0	19	0	0
35	0	20	0	0
35	0	21	0	0
35	0	22	0	0
35	0	23	0	0
35	0	24	0	0
35	0	25	0	0
35	0	26	0	0
35	0	27	0	0
35	0	13	1	0
35	0	14	1	0
35	0	15	1	0
46	0	1	1	0
46	0	2	1	0
46	0	3	1	0
46	0	4	1	0
46	0	5	1	0
46	0	6	1	0
46	0	7	1	0
46	0	8	1	0
46	0	9	1	0
46	0	10	1	0
46	0	11	1	0
46	0	12	1	0
46	0	16	0	0
46	0	17	0	0
46	0	18	0	0
46	0	19	0	0
46	0	20	0	0
46	0	21	0	0
46	0	22	0	0
46	0	23	0	0
46	0	24	0	0
46	0	25	0	0
46	0	26	0	0
46	0	27	0	0
46	0	13	1	0
46	0	14	0	0
46	0	15	0	0
93	0	1	1	0
93	0	2	1	0
93	0	3	1	0
93	0	4	1	0
93	0	5	1	0
93	0	6	1	0
93	0	7	1	0
93	0	8	1	0
93	0	9	1	0
93	0	10	1	0
93	0	11	1	0
93	0	12	1	0
93	0	16	1	0
93	0	17	1	0
93	0	18	1	0
93	0	19	1	0
93	0	20	1	0
93	0	21	1	0
93	0	22	1	0
93	0	23	1	0
93	0	24	1	0
93	0	25	1	0
93	0	26	1	0
93	0	27	1	0
93	0	13	1	0
93	0	14	1	0
93	0	15	1	0
94	0	1	0	0
94	0	2	0	0
94	0	3	1	0
94	0	4	1	0
94	0	5	1	0
94	0	6	1	0
94	0	7	1	0
94	0	8	1	0
94	0	9	1	0
94	0	10	1	0
94	0	11	1	0
94	0	12	1	0
94	0	16	1	0
94	0	17	1	0
94	0	18	1	0
94	0	19	0	0
94	0	20	1	0
94	0	22	0	0
94	0	23	0	0
94	0	24	0	0
94	0	25	0	0
94	0	26	0	0
94	0	27	0	0
94	0	13	1	0
94	0	14	1	0
94	0	15	0	0
95	0	1	0	0
95	0	2	0	0
95	0	3	0	0
95	0	4	0	0
95	0	5	0	0
95	0	6	1	0
95	0	7	1	0
95	0	8	1	0
95	0	9	1	0
95	0	10	1	0
95	0	11	1	0
95	0	12	1	0
95	0	16	0	0
95	0	17	0	0
95	0	18	0	0
95	0	19	0	0
95	0	20	0	0
95	0	21	0	0
95	0	22	0	0
95	0	23	0	0
95	0	24	0	0
95	0	25	0	0
95	0	26	0	0
95	0	27	0	0
95	0	13	0	0
95	0	14	0	0
95	0	15	0	0
99	0	1	0	0
99	0	2	0	0
99	0	3	0	0
99	0	4	0	0
99	0	5	0	0
99	0	6	1	0
99	0	7	1	0
99	0	8	1	0
99	0	9	1	0
99	0	10	1	0
99	0	11	1	0
99	0	12	1	0
99	0	16	0	0
99	0	17	1	0
99	0	18	1	0
99	0	19	1	0
99	0	20	1	0
99	0	21	1	0
99	0	22	1	0
99	0	23	1	0
99	0	24	1	0
99	0	25	1	0
99	0	26	1	0
99	0	27	1	0
99	0	13	0	0
99	0	14	0	0
99	0	15	0	0
115	0	1	0	0
115	0	2	0	0
115	0	3	0	0
115	0	4	0	0
115	0	5	0	0
115	0	6	1	0
115	0	7	1	0
115	0	8	1	0
115	0	9	1	0
115	0	10	1	0
115	0	11	1	0
115	0	12	1	0
115	0	16	0	0
115	0	17	0	0
115	0	18	0	0
115	0	19	0	0
115	0	20	0	0
115	0	21	0	0
115	0	22	0	0
115	0	23	0	0
115	0	24	0	0
115	0	25	0	0
115	0	26	0	0
115	0	27	0	0
115	0	13	0	0
115	0	14	0	0
115	0	15	0	0
117	0	1	0	0
117	0	2	0	0
117	0	3	0	0
117	0	4	1	0
117	0	5	1	0
117	0	6	1	0
117	0	7	1	0
117	0	8	1	0
117	0	9	1	0
117	0	10	1	0
117	0	11	1	0
117	0	12	1	0
117	0	16	1	0
117	0	17	1	0
117	0	18	1	0
117	0	19	1	0
117	0	20	1	0
117	0	21	1	0
117	0	22	1	0
117	0	23	1	0
117	0	24	1	0
117	0	25	1	0
117	0	26	1	0
117	0	27	1	0
117	0	13	1	0
117	0	14	1	0
117	0	15	1	0
121	0	1	0	0
121	0	2	0	0
121	0	3	0	0
121	0	4	1	0
121	0	5	1	0
121	0	6	1	0
121	0	7	1	0
121	0	8	1	0
121	0	9	1	0
121	0	10	1	0
121	0	11	1	0
121	0	12	1	0
121	0	16	1	0
121	0	17	1	0
121	0	18	1	0
121	0	19	1	0
121	0	20	0	0
121	0	21	1	0
121	0	22	1	0
121	0	23	0	0
121	0	24	1	0
121	0	25	0	0
121	0	26	1	0
121	0	27	0	0
121	0	13	0	0
121	0	14	1	0
121	0	15	1	0
129	0	1	0	0
129	0	2	0	0
129	0	3	0	0
129	0	4	0	0
129	0	5	0	0
129	0	6	0	0
129	0	7	1	0
129	0	8	1	0
129	0	9	1	0
129	0	11	1	0
129	0	12	1	0
129	0	16	1	0
129	0	17	0	0
129	0	18	0	0
129	0	19	1	0
129	0	20	1	0
129	0	22	1	0
129	0	23	0	0
129	0	24	0	0
129	0	25	1	0
129	0	26	1	0
129	0	27	0	0
129	0	13	0	0
129	0	14	0	0
129	0	15	0	0
132	0	1	0	0
132	0	2	1	0
132	0	3	1	0
132	0	4	1	0
132	0	5	1	0
132	0	6	1	0
132	0	7	1	0
132	0	8	1	0
132	0	9	1	0
132	0	10	1	0
132	0	11	1	0
132	0	12	1	0
132	0	16	1	0
132	0	17	1	0
132	0	18	1	0
132	0	19	1	0
132	0	20	1	0
132	0	21	1	0
132	0	22	1	0
132	0	23	1	0
132	0	24	1	0
132	0	25	1	0
132	0	26	1	0
132	0	27	1	0
132	0	13	1	0
132	0	14	1	0
132	0	15	1	0
133	0	1	0	0
133	0	2	0	0
133	0	3	0	0
133	0	4	0	0
133	0	5	0	0
133	0	6	0	0
133	0	7	1	0
133	0	8	1	0
133	0	9	1	0
133	0	10	1	0
133	0	11	1	0
133	0	12	0	0
133	0	16	0	0
133	0	17	0	0
133	0	18	0	0
133	0	19	0	0
133	0	20	0	0
133	0	21	0	0
133	0	22	0	0
133	0	23	0	0
133	0	24	0	0
133	0	25	0	0
133	0	26	0	0
133	0	27	0	0
133	0	13	0	0
133	0	14	0	0
133	0	15	0	0
134	0	1	0	0
134	0	2	0	0
134	0	3	0	0
134	0	4	1	0
134	0	5	1	0
134	0	6	1	0
134	0	7	1	0
134	0	8	1	0
134	0	9	1	0
134	0	10	1	0
134	0	11	1	0
134	0	12	1	0
134	0	16	1	0
134	0	17	1	0
134	0	18	1	0
134	0	19	1	0
134	0	20	1	0
134	0	21	1	0
134	0	22	1	0
134	0	23	1	0
134	0	24	1	0
134	0	25	0	1
134	0	26	0	1
134	0	27	0	1
134	0	13	1	0
134	0	14	1	0
134	0	15	1	0
135	0	1	0	0
135	0	2	0	0
135	0	3	0	0
135	0	4	1	0
135	0	5	1	0
135	0	6	1	0
135	0	7	1	0
135	0	8	1	0
135	0	9	1	0
135	0	10	1	0
135	0	11	1	0
135	0	12	1	0
135	0	16	1	0
135	0	17	1	0
135	0	18	1	0
135	0	19	1	0
135	0	20	1	0
135	0	21	1	0
135	0	22	1	0
135	0	23	1	0
135	0	24	1	0
135	0	25	1	0
135	0	26	1	0
135	0	27	1	0
135	0	13	1	0
135	0	14	1	0
135	0	15	1	0
137	0	1	0	0
137	0	2	0	0
137	0	3	0	0
137	0	4	0	0
137	0	5	1	0
137	0	6	1	0
137	0	7	1	0
137	0	8	1	0
137	0	9	1	0
137	0	10	1	0
137	0	11	1	0
137	0	12	1	0
137	0	16	1	0
137	0	17	1	0
137	0	18	1	0
137	0	19	1	0
137	0	20	1	0
137	0	21	1	0
137	0	22	1	0
137	0	23	1	0
137	0	24	1	0
137	0	25	1	0
137	0	26	1	0
137	0	27	1	0
137	0	13	1	0
137	0	14	0	0
137	0	15	1	0
139	0	1	0	0
139	0	2	0	0
139	0	3	0	0
139	0	4	0	0
139	0	5	0	0
139	0	6	0	0
139	0	7	1	0
139	0	8	1	0
139	0	9	1	0
139	0	10	1	0
139	0	11	1	0
139	0	12	1	0
139	0	16	1	0
139	0	17	1	0
139	0	18	1	0
139	0	19	1	0
139	0	20	1	0
139	0	21	1	0
139	0	22	1	0
139	0	23	1	0
139	0	24	1	0
139	0	25	1	0
139	0	26	1	0
139	0	27	1	0
139	0	13	1	0
139	0	14	0	0
139	0	15	1	0
140	0	1	1	0
140	0	2	1	0
140	0	3	1	0
140	0	4	1	0
140	0	5	1	0
140	0	6	1	0
140	0	7	1	0
140	0	8	1	0
140	0	9	1	0
140	0	10	1	0
140	0	11	1	0
140	0	12	1	0
140	0	16	0	0
140	0	17	1	0
140	0	18	1	0
140	0	19	1	0
140	0	20	1	0
140	0	21	1	0
140	0	22	1	0
140	0	23	1	0
140	0	24	1	0
140	0	25	1	0
140	0	26	0	1
140	0	27	0	1
140	0	13	1	0
140	0	14	1	0
140	0	15	1	0
141	0	1	0	0
141	0	2	0	0
141	0	3	1	0
141	0	4	1	0
141	0	5	1	0
141	0	6	1	0
141	0	8	1	0
141	0	9	1	0
141	0	10	1	0
141	0	12	1	0
141	0	16	0	0
141	0	17	0	0
141	0	18	0	0
141	0	19	0	0
141	0	20	0	0
141	0	21	0	0
141	0	22	0	0
141	0	23	0	0
141	0	24	0	0
141	0	25	0	0
141	0	26	0	0
141	0	27	0	0
141	0	13	0	0
141	0	14	0	0
141	0	15	0	0
144	0	1	1	0
144	0	2	1	0
144	0	3	1	0
144	0	4	1	0
144	0	5	1	0
144	0	6	1	0
144	0	7	1	0
144	0	8	1	0
144	0	9	1	0
144	0	10	1	0
144	0	11	1	0
144	0	12	1	0
144	0	16	1	0
144	0	17	1	0
144	0	18	1	0
144	0	19	1	0
144	0	20	1	0
144	0	21	1	0
144	0	22	1	0
144	0	23	1	0
144	0	24	1	0
144	0	25	1	0
144	0	26	0	1
144	0	27	0	1
144	0	13	1	0
144	0	14	1	0
144	0	15	1	0
147	0	1	1	0
147	0	2	1	0
147	0	3	1	0
147	0	4	1	0
147	0	5	1	0
147	0	6	1	0
147	0	7	1	0
147	0	8	1	0
147	0	9	1	0
147	0	10	1	0
147	0	11	1	0
147	0	12	1	0
147	0	16	1	0
147	0	17	1	0
147	0	18	1	0
147	0	19	1	0
147	0	20	1	0
147	0	21	1	0
147	0	22	0	1
147	0	23	0	1
147	0	24	0	1
147	0	25	0	1
147	0	26	0	1
147	0	27	0	1
147	0	13	1	0
147	0	14	1	0
147	0	15	1	0
148	0	1	1	0
148	0	2	1	0
148	0	3	1	0
148	0	4	1	0
148	0	5	1	0
148	0	6	1	0
148	0	7	1	0
148	0	8	1	0
148	0	9	1	0
148	0	10	1	0
148	0	11	1	0
148	0	12	1	0
148	0	16	1	0
148	0	17	1	0
148	0	18	1	0
148	0	19	1	0
148	0	20	1	0
148	0	21	1	0
148	0	22	1	0
148	0	23	0	1
148	0	24	0	1
148	0	25	0	1
148	0	26	0	1
148	0	27	0	1
148	0	13	1	0
148	0	14	1	0
148	0	15	1	0
149	0	1	1	0
149	0	2	1	0
149	0	3	1	0
149	0	4	1	0
149	0	5	1	0
149	0	6	1	0
149	0	7	1	0
149	0	8	1	0
149	0	9	1	0
149	0	10	1	0
149	0	11	1	0
149	0	12	1	0
149	0	16	1	0
149	0	17	1	0
149	0	18	1	0
149	0	19	1	0
149	0	20	1	0
149	0	21	1	0
149	0	22	0	1
149	0	23	0	1
149	0	24	0	1
149	0	25	0	1
149	0	26	0	1
149	0	27	0	1
149	0	13	1	0
149	0	14	1	0
149	0	15	1	0
150	0	1	0	0
150	0	2	0	0
150	0	3	0	0
150	0	4	0	0
150	0	5	1	0
150	0	6	1	0
150	0	7	1	0
150	0	8	1	0
150	0	9	1	0
150	0	10	1	0
150	0	11	1	0
150	0	12	1	0
150	0	16	1	0
150	0	17	1	0
150	0	18	1	0
150	0	19	1	0
150	0	20	1	0
150	0	21	1	0
150	0	22	0	0
150	0	23	1	0
150	0	24	1	0
150	0	25	1	0
150	0	26	0	1
150	0	27	0	1
150	0	13	0	0
150	0	14	1	0
150	0	15	1	0
151	0	1	0	0
151	0	2	0	0
151	0	3	1	0
151	0	4	1	0
151	0	5	1	0
151	0	6	1	0
151	0	7	1	0
151	0	8	1	0
151	0	9	1	0
151	0	10	1	0
151	0	12	1	0
151	0	16	0	0
151	0	17	0	0
151	0	18	0	0
151	0	19	0	0
151	0	20	0	0
151	0	21	0	0
151	0	22	0	0
151	0	23	0	0
151	0	24	0	0
151	0	25	0	0
151	0	26	0	0
151	0	27	0	0
151	0	13	0	0
151	0	14	0	0
151	0	15	0	0
152	0	1	1	0
152	0	2	1	0
152	0	3	1	0
152	0	4	1	0
152	0	5	1	0
152	0	6	1	0
152	0	7	1	0
152	0	8	1	0
152	0	9	1	0
152	0	10	1	0
152	0	11	1	0
152	0	12	1	0
152	0	16	0	0
152	0	17	0	0
152	0	18	0	0
152	0	19	0	0
152	0	20	0	0
152	0	21	0	0
152	0	22	0	0
152	0	23	0	0
152	0	24	0	0
152	0	25	0	0
152	0	26	0	0
152	0	27	0	0
152	0	13	1	0
152	0	14	1	0
152	0	15	0	0
153	0	1	1	0
153	0	2	1	0
153	0	3	1	0
153	0	5	1	0
153	0	6	1	0
153	0	7	1	0
153	0	8	1	0
153	0	9	1	0
153	0	10	1	0
153	0	11	0	0
153	0	12	0	0
153	0	16	0	0
153	0	17	0	0
153	0	18	0	0
153	0	19	0	0
153	0	20	0	0
153	0	21	0	0
153	0	22	0	0
153	0	23	0	0
153	0	24	0	0
153	0	25	0	0
153	0	26	0	0
153	0	27	0	0
153	0	15	0	0
156	0	1	0	0
156	0	2	0	0
156	0	3	1	0
156	0	4	1	0
156	0	5	1	0
156	0	6	1	0
156	0	7	1	0
156	0	8	1	0
156	0	9	1	0
156	0	10	1	0
156	0	11	1	0
156	0	12	1	0
156	0	16	0	0
156	0	17	0	0
156	0	18	0	0
156	0	19	0	0
156	0	20	0	0
156	0	21	0	0
156	0	22	0	0
156	0	23	0	0
156	0	24	0	0
156	0	25	0	0
156	0	26	0	0
156	0	27	0	0
156	0	13	1	0
156	0	14	0	0
156	0	15	0	0
157	0	1	0	0
157	0	2	1	0
157	0	3	1	0
157	0	4	1	0
157	0	5	1	0
157	0	6	1	0
157	0	7	1	0
157	0	8	1	0
157	0	9	1	0
157	0	10	1	0
157	0	11	1	0
157	0	12	1	0
157	0	16	1	0
157	0	17	1	0
157	0	17	1	0
157	0	18	1	0
157	0	19	1	0
157	0	20	1	0
157	0	21	1	0
157	0	22	1	0
157	0	23	0	1
157	0	24	0	1
157	0	25	0	1
157	0	26	0	1
157	0	27	0	1
157	0	13	1	0
157	0	14	1	0
157	0	15	1	0
158	0	1	0	0
158	0	2	1	0
158	0	3	1	0
158	0	4	1	0
158	0	5	1	0
158	0	7	1	0
158	0	8	1	0
158	0	9	1	0
158	0	10	1	0
158	0	11	1	0
158	0	12	1	0
158	0	16	1	0
158	0	17	1	0
158	0	18	1	0
158	0	19	1	0
158	0	20	1	0
158	0	21	1	0
158	0	22	1	0
158	0	23	0	1
158	0	24	0	1
158	0	25	0	1
158	0	26	0	1
158	0	27	0	1
158	0	13	1	0
158	0	14	1	0
158	0	15	1	0
159	0	1	1	0
159	0	2	1	0
159	0	3	1	0
159	0	4	1	0
159	0	5	1	0
159	0	6	1	0
159	0	7	1	0
159	0	8	1	0
159	0	9	1	0
159	0	10	1	0
159	0	11	1	0
159	0	12	1	0
159	0	16	1	0
159	0	17	1	0
159	0	18	0	0
159	0	19	1	0
159	0	20	0	1
159	0	21	0	1
159	0	22	0	1
159	0	23	0	1
159	0	24	0	1
159	0	25	0	1
159	0	26	0	1
159	0	27	0	1
159	0	14	1	0
159	0	15	1	0
159	0	13	0	0
160	0	1	0	0
160	0	2	0	0
160	0	3	1	0
160	0	4	1	0
160	0	5	1	0
160	0	6	1	0
160	0	7	1	0
160	0	8	1	0
160	0	9	1	0
160	0	10	1	0
160	0	11	1	0
160	0	12	1	0
160	0	16	1	0
160	0	17	1	0
160	0	18	1	0
160	0	19	1	0
160	0	20	1	0
160	0	21	1	0
160	0	22	0	1
160	0	23	0	1
160	0	24	0	1
160	0	25	0	1
160	0	26	0	1
160	0	27	0	1
160	0	13	1	0
160	0	14	1	0
160	0	15	1	0
162	0	1	1	0
162	0	2	1	0
162	0	3	0	0
162	0	4	1	0
162	0	5	1	0
162	0	6	1	0
162	0	7	1	0
162	0	8	1	0
162	0	10	1	0
162	0	11	1	0
162	0	12	1	0
162	0	16	0	0
162	0	17	0	0
162	0	18	0	0
162	0	19	0	0
162	0	20	0	0
162	0	21	0	0
162	0	22	0	0
162	0	23	0	0
162	0	24	0	0
162	0	25	0	0
162	0	26	0	0
162	0	27	0	0
162	0	14	0	0
162	0	15	1	0
162	0	13	0	0
163	0	1	0	0
163	0	2	1	0
163	0	3	1	0
163	0	4	1	0
163	0	5	1	0
163	0	6	1	0
163	0	7	1	0
163	0	8	1	0
163	0	9	1	0
163	0	10	1	0
163	0	11	1	0
163	0	12	1	0
163	0	16	1	0
163	0	17	1	0
163	0	18	1	0
163	0	19	1	0
163	0	20	0	1
163	0	21	0	1
163	0	22	0	1
163	0	23	0	1
163	0	24	0	1
163	0	25	0	1
163	0	26	0	1
163	0	27	0	1
163	0	13	1	0
163	0	14	1	0
163	0	15	1	0
164	0	1	1	0
164	0	2	1	0
164	0	3	1	0
164	0	4	1	0
164	0	5	1	0
164	0	6	1	0
164	0	7	1	0
164	0	8	1	0
164	0	9	1	0
164	0	10	1	0
164	0	11	1	0
164	0	12	1	0
164	0	16	1	0
164	0	17	1	0
164	0	18	1	0
164	0	19	1	0
164	0	20	0	1
164	0	21	0	1
164	0	22	0	1
164	0	23	0	1
164	0	24	0	1
164	0	25	0	1
164	0	26	0	1
164	0	27	0	1
164	0	13	1	0
164	0	14	1	0
164	0	15	1	0
166	0	1	1	0
166	0	2	1	0
166	0	3	1	0
166	0	4	1	0
166	0	5	1	0
166	0	6	1	0
166	0	7	1	0
166	0	8	1	0
166	0	9	1	0
166	0	10	1	0
166	0	11	1	0
166	0	12	1	0
166	0	16	1	0
166	0	16	1	0
166	0	17	0	1
166	0	18	0	1
166	0	20	0	1
166	0	21	0	1
166	0	22	0	1
166	0	23	0	1
166	0	24	0	1
166	0	25	0	1
166	0	26	0	1
166	0	27	0	1
166	0	13	1	0
166	0	14	1	0
166	0	15	1	0
167	0	1	0	0
167	0	2	0	0
167	0	3	0	0
167	0	4	1	0
167	0	5	1	0
167	0	6	1	0
167	0	8	1	0
167	0	10	1	0
167	0	11	1	0
167	0	12	1	0
167	0	16	1	0
167	0	17	1	0
167	0	18	1	0
167	0	19	1	0
167	0	20	1	0
167	0	21	0	1
167	0	22	0	1
167	0	23	0	1
167	0	24	0	1
167	0	25	0	1
167	0	26	0	1
167	0	27	0	1
167	0	13	1	0
167	0	15	1	0
167	0	14	0	0
168	0	1	0	0
168	0	2	1	0
168	0	3	1	0
168	0	4	1	0
168	0	5	1	0
168	0	6	1	0
168	0	8	1	0
168	0	9	1	0
168	0	10	1	0
168	0	11	1	0
168	0	12	1	0
168	0	16	0	1
168	0	17	0	1
168	0	18	0	1
168	0	19	0	1
168	0	20	0	1
168	0	21	0	1
168	0	22	0	1
168	0	23	0	1
168	0	24	0	1
168	0	25	0	1
168	0	26	0	1
168	0	27	0	1
168	0	13	0	0
168	0	14	0	1
168	0	15	0	1
170	0	1	0	0
170	0	2	1	0
170	0	3	1	0
170	0	4	1	0
170	0	5	1	0
170	0	6	1	0
170	0	7	1	0
170	0	8	1	0
170	0	9	1	0
170	0	10	1	0
170	0	11	1	0
170	0	12	1	0
170	0	16	0	1
170	0	17	0	1
170	0	18	0	1
170	0	19	0	1
170	0	20	0	1
170	0	21	0	1
170	0	22	0	1
170	0	23	0	1
170	0	24	0	1
170	0	25	0	1
170	0	26	0	1
170	0	27	0	1
170	0	13	1	0
170	0	14	0	1
170	0	15	0	1
171	0	1	1	0
171	0	2	1	0
171	0	3	1	0
171	0	4	1	0
171	0	5	1	0
171	0	6	1	0
171	0	7	1	0
171	0	8	1	0
171	0	9	1	0
171	0	10	1	0
171	0	11	1	0
171	0	12	1	0
171	0	16	0	1
171	0	17	0	1
171	0	18	0	1
171	0	19	0	1
171	0	20	0	1
171	0	21	0	1
171	0	22	0	1
171	0	23	0	1
171	0	24	0	1
171	0	25	0	1
171	0	26	0	1
171	0	27	0	1
171	0	13	0	1
171	0	14	0	1
171	0	15	0	1
172	0	1	0	0
172	0	2	0	0
172	0	3	1	0
172	0	4	1	0
172	0	5	1	0
172	0	6	1	0
172	0	7	1	0
172	0	8	1	0
172	0	9	1	0
172	0	10	1	0
172	0	11	1	0
172	0	12	1	0
172	0	16	0	1
172	0	17	0	1
172	0	18	0	1
172	0	19	0	1
172	0	20	0	1
172	0	21	0	1
172	0	22	0	1
172	0	23	0	1
172	0	24	0	1
172	0	25	0	1
172	0	26	0	1
172	0	27	0	1
172	0	13	1	0
172	0	14	0	1
172	0	15	0	1
200	1	1	0	0
200	1	2	0	0
200	1	3	0	0
200	1	4	0	0
200	1	5	0	0
200	1	6	0	0
200	1	7	0	0
200	1	8	0	0
200	1	9	0	0
200	1	10	0	0
200	1	11	0	0
200	1	12	0	0
200	1	16	0	0
200	1	17	0	0
200	1	18	0	0
200	1	19	0	0
200	1	20	0	0
200	1	21	0	0
200	1	22	0	1
200	1	23	0	1
200	1	24	0	1
200	1	25	0	1
200	1	26	0	1
200	1	27	0	1
200	1	13	0	0
200	1	14	0	0
200	1	15	0	0
201	1	1	0	0
201	1	2	0	0
201	1	3	0	0
201	1	4	0	0
201	1	5	0	0
201	1	6	0	0
201	1	7	0	0
201	1	8	0	0
201	1	9	0	0
201	1	10	0	0
201	1	11	0	0
201	1	12	0	0
201	1	16	0	0
201	1	17	0	0
201	1	18	0	0
201	1	19	0	0
201	1	20	0	0
201	1	21	0	0
201	1	22	0	1
201	1	23	0	1
201	1	24	0	1
201	1	25	0	1
201	1	26	0	1
201	1	27	0	1
201	1	13	0	0
201	1	14	0	0
201	1	15	0	0
202	1	1	0	0
202	1	2	0	0
202	1	3	0	0
202	1	4	0	0
202	1	5	0	0
202	1	6	0	0
202	1	7	0	0
202	1	8	0	0
202	1	9	0	0
202	1	10	0	0
202	1	11	0	0
202	1	12	0	0
202	1	16	0	0
202	1	17	0	0
202	1	18	0	0
202	1	19	0	0
202	1	20	0	0
202	1	21	0	0
202	1	22	0	0
202	1	23	0	0
202	1	24	0	0
202	1	25	0	1
202	1	26	0	1
202	1	27	0	1
202	1	13	0	0
202	1	14	0	0
202	1	15	0	0
203	1	1	0	0
203	1	2	0	0
203	1	3	0	0
203	1	4	0	0
203	1	5	0	0
203	1	6	0	0
203	1	7	0	0
203	1	8	0	0
203	1	9	0	0
203	1	10	0	0
203	1	11	0	0
203	1	12	0	0
203	1	16	0	0
203	1	17	0	0
203	1	18	0	0
203	1	19	0	0
203	1	20	0	0
203	1	21	0	0
203	1	22	0	0
203	1	23	0	0
203	1	24	0	0
203	1	25	0	1
203	1	26	0	1
203	1	27	0	1
203	1	13	0	0
203	1	14	0	0
203	1	15	0	0
204	1	1	0	0
204	1	2	0	0
204	1	3	0	0
204	1	4	0	0
204	1	5	0	0
204	1	6	0	0
204	1	7	0	0
204	1	8	0	0
204	1	9	0	0
204	1	10	0	0
204	1	11	0	0
204	1	12	0	0
204	1	16	0	0
204	1	17	0	0
204	1	18	0	0
204	1	19	0	0
204	1	20	0	0
204	1	21	0	0
204	1	22	0	0
204	1	23	0	0
204	1	24	0	0
204	1	25	0	1
204	1	26	0	1
204	1	27	0	1
204	1	13	0	0
204	1	14	0	0
204	1	15	0	0
205	1	1	0	0
205	1	2	0	0
205	1	3	0	0
205	1	4	0	0
205	1	5	0	0
205	1	6	0	0
205	1	7	0	0
205	1	8	0	0
205	1	9	0	0
205	1	10	0	0
205	1	11	0	0
205	1	12	0	0
205	1	16	0	0
205	1	17	0	0
205	1	18	0	0
205	1	19	0	0
205	1	20	0	0
205	1	21	0	0
205	1	22	0	0
205	1	23	0	0
205	1	24	0	0
205	1	25	0	0
205	1	26	0	0
205	1	27	0	0
205	1	13	0	0
205	1	14	0	0
205	1	15	0	0
206	1	1	0	0
206	1	2	0	0
206	1	3	0	0
206	1	4	0	0
206	1	5	0	0
206	1	6	0	0
206	1	7	0	0
206	1	8	0	0
206	1	9	0	0
206	1	10	0	0
206	1	11	0	0
206	1	12	0	0
206	1	16	0	0
206	1	17	0	0
206	1	18	0	0
206	1	19	0	0
206	1	20	0	0
206	1	21	0	0
206	1	22	0	0
206	1	23	0	0
206	1	24	0	0
206	1	25	0	0
206	1	26	0	0
206	1	27	0	0
206	1	13	0	0
206	1	14	0	0
206	1	15	0	0
207	1	1	0	0
207	1	2	0	0
207	1	3	0	0
207	1	4	0	0
207	1	5	0	0
207	1	6	0	0
207	1	7	0	0
207	1	8	0	0
207	1	9	0	0
207	1	10	0	0
207	1	11	0	0
207	1	12	0	0
207	1	16	0	0
207	1	17	0	0
207	1	18	0	0
207	1	19	0	0
207	1	20	0	0
207	1	21	0	0
207	1	22	0	0
207	1	23	0	0
207	1	24	0	0
207	1	25	0	0
207	1	26	0	0
207	1	27	0	0
207	1	13	0	0
207	1	14	0	0
207	1	15	0	0
208	1	1	0	0
208	1	2	0	0
208	1	3	0	0
208	1	4	0	0
208	1	5	0	0
208	1	6	0	0
208	1	7	0	0
208	1	8	0	0
208	1	9	0	0
208	1	10	0	0
208	1	11	0	0
208	1	12	0	0
208	1	16	0	0
208	1	17	0	0
208	1	18	0	0
208	1	19	0	0
208	1	20	0	0
208	1	21	0	0
208	1	22	0	0
208	1	23	0	0
208	1	24	0	0
208	1	25	0	0
208	1	26	0	0
208	1	27	0	0
208	1	13	0	0
208	1	14	0	0
208	1	15	0	0
209	1	1	0	0
209	1	2	0	0
209	1	3	0	0
209	1	4	0	0
209	1	5	0	0
209	1	6	0	0
209	1	7	0	0
209	1	8	0	0
209	1	9	0	0
209	1	10	0	0
209	1	11	0	0
209	1	12	0	0
209	1	16	0	0
209	1	17	0	0
209	1	18	0	0
209	1	19	0	0
209	1	20	0	0
209	1	21	0	0
209	1	22	0	0
209	1	23	0	0
209	1	24	0	0
209	1	25	0	0
209	1	26	0	0
209	1	27	0	0
209	1	13	0	0
209	1	14	0	0
209	1	15	0	0
