SUBJ	SEX	EDU	INC	RACE	ETHN	SESS	AGE	PWT	CWT
66	F	4	3	W	N	6	34	376	256
59	F	5	4	B	N	2	18	216	43
40	F	2	5	M	N	8	42	248	385
22	F	4	5	W	N	5	30	654	401
27	M	5	6	W	N	7	38	581	243
75	M	5	6	W	N	2	18	619	71
58	M	5	3	W	N	7	38	649	364
62	M	2	5	W	N	4	26	518	153
85	M	3	2	M	N	4	26	621	152
103	F	4	4	M	N	6	34	531	343
72	M	5	5	W	N	8	42	431	246
27	M	5	6	W	N	8	42	617	292
100	M	4	5	W	N	10	50	485	344
50	M	4	3	W	N	10	50	535	475
55	F	2	2	W	H	4	26	186	130
81	F	2	2	W	N	3	22	188	56
68	F	3	2	B	N	1	14	280	7
24	F	5	5	B	N	3	22	449	99
49	M	4	5	W	N	1	14	552	0
48	M	5	6	W	N	9	46	613	349
85	M	3	2	M	N	5	30	616	177
82	F	3	1	B	N	4	26	595	212
54	M	5	2	W	N	8	42	541	352
72	M	5	5	W	N	9	46	302	308
73	F	1	2	W	H	1	14	297	2
108	F	2	3	M	N	11	54	566	466
109	M	4	4	W	N	2	18	439	3
81	F	2	2	W	N	4	26	0	0
39	M	4	6	B	N	4	26	339	205
58	M	5	3	W	N	5	30	509	214
43	M	4	4	W	N	11	54	427	432
78	M	5	2	W	N	5	30	490	28
27	M	5	6	W	N	1	14	566	0
54	M	5	2	W	N	9	46	612	441
55	F	2	2	W	H	1	14	197	36
102	M	4	1	W	N	5	30	513	202
81	F	2	2	W	N	11	54	335	223
68	F	3	2	B	N	3	22	401	74
80	M	3	2	B	N	10	50	415	337
43	M	4	4	W	N	5	30	475	285
91	F	5	6	W	N	8	42	0	0
76	M	4	4	B	N	4	26	301	216
85	M	3	2	M	N	7	38	539	201
25	M	4	4	W	N	2	18	382	6
48	M	5	6	W	N	6	34	513	326
77	F	1	1	B	N	5	30	217	116
84	M	3	6	W	N	2	18	393	10
73	F	1	2	W	H	3	22	381	85
123	M	4	6	W	H	10	50	0	0
102	M	4	1	W	N	4	26	540	74
51	M	4	3	W	H	7	38	475	318
109	M	4	4	W	N	4	26	243	16
88	M	5	5	W	H	11	54	469	318
102	M	4	1	W	N	7	38	603	259
72	M	5	5	W	N	6	34	430	202
127	M	4	4	W	H	5	30	501	171
55	F	2	2	W	H	3	22	201	111
79	M	4	6	W	N	3	22	0	0
25	M	4	4	W	N	10	50	402	345
106	F	5	4	M	N	2	18	538	31
61	F	2	1	W	H	8	42	426	237
108	F	2	3	M	N	6	34	820	252
24	F	5	5	B	N	11	54	671	413
85	M	3	2	M	N	1	14	675	6
127	M	4	4	W	H	6	34	601	200
61	F	2	1	W	H	4	26	354	137
47	F	5	6	W	N	1	14	442	9
89	M	4	3	B	N	8	42	330	250
109	M	4	4	W	N	6	34	372	110
125	F	5	6	W	N	9	46	606	239
124	F	2	2	B	H	1	14	424	4
84	M	3	6	W	N	3	22	527	47
77	F	1	1	B	N	7	38	203	201
127	M	4	4	W	H	7	38	561	335
27	M	5	6	W	N	5	30	731	198
78	M	5	2	W	N	7	38	460	117
61	F	2	1	W	H	5	30	337	191
55	F	2	2	W	H	5	30	226	114
126	F	2	2	B	N	2	18	0	0
84	M	3	6	W	N	5	30	439	99
123	M	4	6	W	H	3	22	289	38
48	M	5	6	W	N	3	22	403	25
85	M	3	2	M	N	3	22	888	108
25	M	4	4	W	N	6	34	291	189
89	M	4	3	B	N	1	14	153	3
84	M	3	6	W	N	6	34	531	179
64	M	3	2	W	H	6	34	297	114
81	F	2	2	W	N	2	18	98	20
109	M	4	4	W	N	8	42	494	233
40	F	2	5	M	N	11	54	224	592
29	F	5	6	M	N	4	26	446	233
72	M	5	5	W	N	2	18	394	2
33	M	3	2	B	N	10	50	286	307
55	F	2	2	W	H	7	38	251	233
24	F	5	5	B	N	2	18	379	50
64	M	3	2	W	H	9	46	180	144
42	M	3	2	W	N	7	38	363	252
110	F	4	5	W	N	7	38	0	0
68	F	3	2	B	N	9	46	278	71
108	F	2	3	M	N	2	18	430	19
33	M	3	2	B	N	3	22	425	60
100	M	4	5	W	N	1	14	321	23
29	F	5	6	M	N	5	30	486	331
54	M	5	2	W	N	2	18	613	128
48	M	5	6	W	N	1	14	497	5
33	M	3	2	B	N	9	46	208	272
50	M	4	3	W	N	7	38	403	226
73	F	1	2	W	H	9	46	270	399
64	M	3	2	W	H	4	26	291	67
72	M	5	5	W	N	10	50	506	238
22	F	4	5	W	N	11	54	721	475
73	F	1	2	W	H	11	54	264	430
33	M	3	2	B	N	2	18	546	26
37	F	4	4	W	N	5	30	502	116
77	F	1	1	B	N	8	42	147	108
45	F	4	6	W	N	3	22	411	255
27	M	5	6	W	N	9	46	722	388
55	F	2	2	W	H	9	46	474	484
80	M	3	2	B	N	6	34	456	128
61	F	2	1	W	H	9	46	263	181
107	M	3	4	W	N	11	54	0	0
48	M	5	6	W	N	7	38	668	340
50	M	4	3	W	N	5	30	446	273
59	F	5	4	B	N	10	50	129	326
106	F	5	4	M	N	9	46	416	184
51	M	4	3	W	H	4	26	527	213
123	M	4	6	W	H	8	42	0	0
44	F	3	3	B	N	8	42	206	372
85	M	3	2	M	N	8	42	591	246
105	F	4	4	W	N	5	30	540	166
102	M	4	1	W	N	3	22	515	29
54	M	5	2	W	N	11	54	534	484
43	M	4	4	W	N	9	46	340	344
55	F	2	2	W	H	10	50	203	359
106	F	5	4	M	N	8	42	464	199
44	F	3	3	B	N	9	46	105	470
64	M	3	2	W	H	10	50	167	246
87	M	5	1	B	N	4	26	241	48
88	M	5	5	W	H	5	30	403	235
48	M	5	6	W	N	5	30	599	175
50	M	4	3	W	N	3	22	586	155
84	M	3	6	W	N	1	14	432	14
73	F	1	2	W	H	2	18	373	8
74	F	4	5	W	N	11	54	417	440
47	F	5	6	W	N	9	46	367	306
49	M	4	5	W	N	4	26	458	80
47	F	5	6	W	N	10	50	588	267
124	F	2	2	B	H	9	46	638	237
54	M	5	2	W	N	7	38	536	382
28	F	4	6	W	N	3	22	668	34
55	F	2	2	W	H	2	18	243	75
106	F	5	4	M	N	11	54	0	0
68	F	3	2	B	N	10	50	206	200
58	M	5	3	W	N	10	50	632	417
80	M	3	2	B	N	2	18	534	26
124	F	2	2	B	H	8	42	315	145
87	M	5	1	B	N	2	18	233	7
61	F	2	1	W	H	10	50	253	160
50	M	4	3	W	N	1	14	544	1
51	M	4	3	W	H	9	46	369	406
89	M	4	3	B	N	9	46	353	284
88	M	5	5	W	H	9	46	279	164
42	M	3	2	W	N	6	34	550	245
78	M	5	2	W	N	10	50	472	198
25	M	4	4	W	N	9	46	542	349
87	M	5	1	B	N	9	46	267	283
77	F	1	1	B	N	9	46	186	147
65	M	5	4	W	N	10	50	601	361
105	F	4	4	W	N	1	14	439	5
87	M	5	1	B	N	10	50	0	199
74	F	4	5	W	N	8	42	399	254
62	M	2	5	W	N	6	34	563	190
49	M	4	5	W	N	7	38	674	337
62	M	2	5	W	N	5	30	511	157
54	M	5	2	W	N	10	50	737	310
100	M	4	5	W	N	9	46	396	348
103	F	4	4	M	N	1	14	555	49
89	M	4	3	B	N	2	18	293	25
39	M	4	6	B	N	5	30	282	233
78	M	5	2	W	N	2	18	374	1
81	F	2	2	W	N	7	38	269	247
39	M	4	6	B	N	6	34	326	312
110	F	4	5	W	N	1	14	333	15
83	F	5	4	W	N	4	26	388	24
29	F	5	6	M	N	11	54	0	374
82	F	3	1	B	N	5	30	493	265
61	F	2	1	W	H	3	22	244	49
55	F	2	2	W	H	6	34	65	245
74	F	4	5	W	N	1	14	322	5
47	F	5	6	W	N	7	38	495	394
79	M	4	6	W	N	6	34	490	298
47	F	5	6	W	N	11	54	525	468
68	F	3	2	B	N	8	42	278	163
73	F	1	2	W	H	8	42	321	435
59	F	5	4	B	N	5	30	0	0
49	M	4	5	W	N	11	54	0	413
106	F	5	4	M	N	1	14	598	14
48	M	5	6	W	N	10	50	574	411
42	M	3	2	W	N	2	18	330	13
79	M	4	6	W	N	10	50	505	384
62	M	2	5	W	N	2	18	423	40
103	F	4	4	M	N	10	50	518	457
82	F	3	1	B	N	7	38	542	425
55	F	2	2	W	H	8	42	405	344
126	F	2	2	B	N	5	30	407	128
125	F	5	6	W	N	8	42	689	231
42	M	3	2	W	N	1	14	263	1
37	F	4	4	W	N	8	42	266	315
49	M	4	5	W	N	3	22	431	24
45	F	4	6	W	N	11	54	516	423
61	F	2	1	W	H	6	34	356	289
84	M	3	6	W	N	9	46	470	314
64	M	3	2	W	H	1	14	249	11
106	F	5	4	M	N	3	22	564	125
39	M	4	6	B	N	2	18	412	86
28	F	4	6	W	N	11	54	500	282
83	F	5	4	W	N	3	22	393	24
83	F	5	4	W	N	8	42	455	239
37	F	4	4	W	N	7	38	746	285
25	M	4	4	W	N	3	22	496	33
27	M	5	6	W	N	3	22	575	17
119	F	5	5	W	N	10	50	600	349
105	F	4	4	W	N	6	34	474	210
109	M	4	4	W	N	11	54	0	0
45	F	4	6	W	N	5	30	513	351
88	M	5	5	W	H	4	26	307	208
74	F	4	5	W	N	5	30	330	165
124	F	2	2	B	H	6	34	336	191
76	M	4	4	B	N	11	54	0	0
92	M	4	6	W	N	8	42	622	453
39	M	4	6	B	N	10	50	371	349
59	F	5	4	B	N	1	14	321	40
102	M	4	1	W	N	6	34	510	232
51	M	4	3	W	H	1	14	345	17
85	M	3	2	M	N	11	54	0	0
119	F	5	5	W	N	4	26	498	167
84	M	3	6	W	N	10	50	449	386
123	M	4	6	W	H	2	18	197	4
92	M	4	6	W	N	9	46	619	495
50	M	4	3	W	N	8	42	467	343
25	M	4	4	W	N	1	14	370	2
65	M	5	4	W	N	6	34	485	304
103	F	4	4	M	N	8	42	574	337
77	F	1	1	B	N	6	34	139	138
24	F	5	5	B	N	1	14	515	20
88	M	5	5	W	H	2	18	285	38
79	M	4	6	W	N	1	14	381	6
127	M	4	4	W	H	10	50	1070	367
89	M	4	3	B	N	11	54	0	0
44	F	3	3	B	N	11	54	63	303
126	F	2	2	B	N	11	54	0	0
80	M	3	2	B	N	8	42	319	182
105	F	4	4	W	N	10	50	534	317
110	F	4	5	W	N	8	42	0	0
66	F	4	3	W	N	8	42	429	310
24	F	5	5	B	N	7	38	577	358
103	F	4	4	M	N	9	46	545	398
124	F	2	2	B	H	3	22	370	60
58	M	5	3	W	N	6	34	649	225
83	F	5	4	W	N	7	38	483	263
110	F	4	5	W	N	9	46	0	0
28	F	4	6	W	N	5	30	602	124
25	M	4	4	W	N	7	38	583	280
65	M	5	4	W	N	4	26	597	304
110	F	4	5	W	N	11	54	0	0
105	F	4	4	W	N	2	18	428	32
38	F	5	3	W	N	10	50	555	362
74	F	4	5	W	N	9	46	520	382
77	F	1	1	B	N	11	54	55	204
51	M	4	3	W	H	8	42	389	353
44	F	3	3	B	N	7	38	230	293
123	M	4	6	W	H	5	30	407	113
66	F	4	3	W	N	11	54	0	0
100	M	4	5	W	N	8	42	506	414
119	F	5	5	W	N	9	46	506	329
28	F	4	6	W	N	4	26	550	61
89	M	4	3	B	N	3	22	215	121
100	M	4	5	W	N	7	38	447	319
84	M	3	6	W	N	4	26	403	46
109	M	4	4	W	N	1	14	528	2
81	F	2	2	W	N	10	50	405	334
38	F	5	3	W	N	2	18	449	86
29	F	5	6	M	N	2	18	427	87
119	F	5	5	W	N	8	42	480	271
50	M	4	3	W	N	4	26	519	253
25	M	4	4	W	N	5	30	356	189
65	M	5	4	W	N	2	18	526	32
87	M	5	1	B	N	7	38	248	185
24	F	5	5	B	N	4	26	381	163
125	F	5	6	W	N	11	54	0	0
45	F	4	6	W	N	6	34	433	399
110	F	4	5	W	N	6	34	0	0
124	F	2	2	B	H	10	50	288	131
33	M	3	2	B	N	5	30	455	186
48	M	5	6	W	N	8	42	618	353
29	F	5	6	M	N	3	22	476	275
44	F	3	3	B	N	5	30	290	214
80	M	3	2	B	N	11	54	297	129
78	M	5	2	W	N	8	42	487	165
40	F	2	5	M	N	6	34	412	357
109	M	4	4	W	N	3	22	584	2
73	F	1	2	W	H	5	30	362	259
37	F	4	4	W	N	10	50	647	326
127	M	4	4	W	H	2	18	315	47
27	M	5	6	W	N	11	54	664	355
47	F	5	6	W	N	2	18	442	22
33	M	3	2	B	N	4	26	456	177
38	F	5	3	W	N	4	26	523	265
44	F	3	3	B	N	4	26	287	182
66	F	4	3	W	N	3	22	296	103
107	M	3	4	W	N	9	46	538	337
50	M	4	3	W	N	2	18	718	36
91	F	5	6	W	N	10	50	0	0
106	F	5	4	M	N	7	38	553	228
126	F	2	2	B	N	4	26	444	109
22	F	4	5	W	N	2	18	469	86
108	F	2	3	M	N	7	38	702	374
47	F	5	6	W	N	5	30	540	176
100	M	4	5	W	N	6	34	450	241
100	M	4	5	W	N	11	54	0	0
37	F	4	4	W	N	2	18	661	64
119	F	5	5	W	N	5	30	515	244
40	F	2	5	M	N	4	26	558	221
59	F	5	4	B	N	9	46	103	305
84	M	3	6	W	N	8	42	513	278
109	M	4	4	W	N	5	30	497	101
42	M	3	2	W	N	10	50	464	359
109	M	4	4	W	N	7	38	403	211
62	M	2	5	W	N	8	42	645	287
38	F	5	3	W	N	6	34	556	295
103	F	4	4	M	N	2	18	510	161
44	F	3	3	B	N	2	18	226	29
66	F	4	3	W	N	1	14	379	8
92	M	4	6	W	N	1	14	466	6
105	F	4	4	W	N	7	38	571	276
126	F	2	2	B	N	3	22	325	34
65	M	5	4	W	N	9	46	496	391
88	M	5	5	W	H	3	22	271	65
45	F	4	6	W	N	7	38	476	409
49	M	4	5	W	N	8	42	853	367
79	M	4	6	W	N	9	46	577	304
76	M	4	4	B	N	2	18	281	74
25	M	4	4	W	N	8	42	593	363
75	M	5	6	W	N	1	14	720	1
54	M	5	2	W	N	4	26	669	338
40	F	2	5	M	N	3	22	465	165
92	M	4	6	W	N	2	18	514	106
47	F	5	6	W	N	6	34	583	257
76	M	4	4	B	N	7	38	0	0
75	M	5	6	W	N	10	50	959	368
64	M	3	2	W	H	2	18	234	29
28	F	4	6	W	N	6	34	406	179
49	M	4	5	W	N	6	34	663	246
50	M	4	3	W	N	11	54	384	407
